hindi,complaint,category
"विजय की तीन लड़की व एक लड़का है. महिला ने बताया कि 26 मई 2020 को
विजय की 15 साल की बड़ी बेटी रोते हुए उसके पास आई और बताया कि उसका पिता
करीब एक माह से उसके साथ गलत काम कर रहा है.","Vijay has three girls and one boy. The woman told that on 26 May 2020
Vijay's 15-year-old elder daughter came to him crying and told that her father
He has been doing wrong things with her for about a month.",
सड़क हादसे में गंभीर रूप से घायल हुए एक व्यक्ति की मौत हो जाने की खबर सामने आई है। एक अज्ञात व्यक्ति भिखारी मानसिक रूप से परेशान था।,The news of the death of a person who was seriously injured in a road accident has come to the fore. An unknown person beggar was mentally disturbed.,
पप्पू यादव अपने पत्नी मिली सिंह और पुत्री के साथ घूम कर रात में घर आए थे. जहां उनके घर के भीतर पहले से घात लगाए अपराधी बैठे थे एक घर में घुसकर पति पत्नी को गोली मारी है. इस वारदात में पत्नी को तीन गोली लगी है. अपराधियों ने एक गोली सिर में मारी है जिससे उनकी घटनास्थल पर ही मौत हो गई.,Pappu Yadav came home at night after roaming around with his wife Mili Singh and daughter. The husband and wife were shot after entering a house where the criminals had already ambushed inside their house. The wife has got three bullets in this incident. The criminals shot a bullet in the head due to which he died on the spot.,
"गुरुग्राम, में गुरुवार की रात नवविवाहित दंपति पर हथियारों से लैस बदमाशों ने कई
राउंड फायरिंग की. युवक की मौत हो गई. फायरिंग में घायल उसकी पत्नी की हालत
नाजुक बनी हुई है.","Armed miscreants attacked a newly wed couple on Thursday night in Gurugram.
Firing rounds. The young man died. condition of his wife injured in firing
remains fragile.",
"हरियाणा के फरीदाबाद जिले की त्रिखा कॉलोनी में पड़ोस में रहने वाले दो युवकों ने
सात वर्ष की बच्ची के साथ कथित रूप से सामूहिक बलात्कार किया। बच्ची को गंभीर
हालत में अस्पताल में भर्ती कराया गया है।","Two youths living in the neighborhood of Trikha Colony in Faridabad district of Haryana
A seven-year-old girl was allegedly gang-raped. baby girl serious
The condition has been admitted to the hospital.",
"दिल्ली से सटे फरीदाबाद से भी बुराड़ी जैसा मामला सामने आया है. शहर की
अग्रवाल सोसाइटी में एक ईसाई परिवार के चार लोगों ने फांसी लगाकर खुदकुशी कर
ली. पुलिस ने शनिवार को मौके पर पहुंचकर दरवाजा खोला तो अंदर चारों के शव फंदे
से लटके मिले. शव बुरी हालत में थे, जिससे ऐसा लगता है कि आत्महत्या की यह
घटना कई दिन पहले हुई. पुलिस को मौके से एक सुसाइड नोट भी मिला है, जिसमें
किसी को मौत का जिम्मेदार नहीं बताया गया है.","A case like Burari has also come to light from Faridabad, which is adjacent to Delhi. of the city
Four members of a Christian family committed suicide by hanging themselves in Agrawal Society.
Took. When the police reached the spot on Saturday and opened the door, the bodies of all four were trapped inside.
Met hanging from. The bodies were in a bad condition, which suggested that it was a case of suicide.
The incident happened several days back. Police have also received a suicide note from the spot, in which
No one has been held responsible for the death.",
आज समय 6.30 एएम पर मुबारकपुर दिल्ली में किसी वाहन द्वारा कावड़ियों को टक्कर मारने पर कुण्डली बॉर्डर सोनीपत पर जाम लगाया (किसने जाम लगाया पता कर लेना) ज्ञात हुआ है कि उक्त सड़क दुघर्टना के कारण दिल्ली बार्डर पर वाहनों को रोका गया था। हरियाणा पुलिस ने एतिहात के तौर पर भारी वाहनों को राई में ही रूकवा दिया था तथा जाम में फसे वाहनों को जांटी मोड सोनीपत से भेजा गया। समय 11:30 ए. एम. पर दिल्ली पुलिस द्वारा डल्के वाहनों को दिल्ली में जाने की अनुमति दे दी गई।,"Today at 6.30 a.m. in Mubarakpur, Delhi, a vehicle hit the Kavadis and blocked the Kundli border at Sonipat (find out who blocked it). It is known that the vehicles were stopped at the Delhi border due to the said road accident. As a precautionary measure, the Haryana Police had stopped the heavy vehicles at Rai and the vehicles stuck in the jam were sent from Sonepat by janti mode. Time 11:30 a.m. But the Delhi Police allowed the vehicles to enter Delhi.",
"एक घर की लूटपाट के दौरान अज्ञात चोरों ने आज रात को फरीदाबाद, हरियाणा के एक आवास में घुसकर सम्पत्ति चुराई। घटना रात के लगभग 2 बजे हुई, जब घर के स्वामी और परिवार के सदस्य सो रहे थे। चोरों ने घर के प्रमुख द्वार को तोड़कर आवास में प्रवेश किया। उन्होंने अपने मास्क धारण किए हुए वापसी के दरवाजे को बंद कर दिया, ताकि कोई भी संदेह ना करें। चोरों ने धनी ज्वेलरी, नकदी और महंगे वस्त्रों की एक बड़ी राशि को अपने कब्जे में लिया। उन्होंने घर में मौजूद सामग्री को अवरोधित करके निकल जाने का प्रयास किया, ताकि कोई भी आवाज़ या आपत्ति न हो।","Unidentified thieves broke into a residence in Faridabad, Haryana tonight and stole property during a house robbery. The incident took place around 2 am when the owner of the house and family members were sleeping. The thieves entered the residence by breaking open the main door of the house. He closed the return door with his mask on, so that no one would be suspicious. The thieves made away with rich jewellery, a large amount of cash and expensive clothes. They tried to leave by barricading the material in the house so that there would be no noise or objection.",
माजरी चौक पंचकुला के पास घग्गर पुल पर दो कार की आमने सामने टक्कर हो गई। जिस कारण एक कार पर दो युवकों की मौत हो गई और एक युवक गंभीर रुप से घायल हो गया। जिसे पीजीआई चण्डीगढ में दाखिल करवाया गया।,"Two cars collided head-on at Ghaggar bridge near Majri Chowk, Panchkula. Due to which two youths were killed and one youth was seriously injured on a car. Which was admitted in PGI Chandigarh.",
"बदले की भावना में एक पूर्व प्रेमी ने 21 वर्षीय युवती को पहले किडनैप किया और
फिर उसे कार से करीब 650 किलोमीटर दूर ले जाकर दक्षिण ऑस्ट्रेलिया के फ्लिंडर्स
रेंज्स में जिंदा दफन कर दिया. सुनवाई के दौरान कोर्ट में इस बारे में जानकारी दी गई.","In a spirit of revenge, an ex-boyfriend first kidnapped a 21-year-old girl and
Then taking him about 650 kilometers by car to Flinders in South Australia
Buried alive in the ranges. Information about this was given in the court during the hearing.",
गांव तिगरा (यमुनानगर ) के नजदीक पंचकुला - सहारनपुर रोड पर कावडिए यादविन्द्र पुत्र सोम वर्मा वासी जाखल मंडी जिला फतेहाबाद को मोटरसाईकल सवार सबीर वासी गंगोह जिला सहारनपुर ने टक्कर मारी। दोनों को हल्की चोटें आई। जिनको उपचार के लिए सिविल अस्पताल यमुनानगर ले जाया गया।,Kavadie Yadvindra s/o Som Verma r/o Jakhal Mandi district Fatehabad was hit by bike rider Sabir r/o Gangoh district Saharanpur on Panchkula-Saharanpur road near village Tigra (Yamunanagar). Both had minor injuries. Those who were taken to Civil Hospital Yamuna Nagar for treatment.,
"""मैं कॉलेज से बाहर आई... ये पांच लोग कार में थे..."" पीड़िता के अनुसार, इसके
बाद उन्होंने उसे कार में खींच लिया, उसे नशीली दवा पिलाई, और उसकी बेहोशी की
हालत में उसके साथ बलात्कार किया। पीड़िता ने बताया कि उसके बाद वे उसे झाड़ियों
के पास फें ककर चले गए।","“I came out of the college… these five people were in the car…” According to the victim, its
They then dragged her into the car, drugged her, and knocked her unconscious.
Raped her in condition. The victim told that after that they threw her into the bushes.
threw it near and went away.",
